Block,Time_Code,Section,Protocol,Visual_Action,Nano Banana (Start Frame),Nano Banana (End Frame),Kling O1 (Motion Prompt)
01,00:00-00:05,Intro,B,Server Room Glitch,"(Style: Digital Art) Dark server room corridor, blue neon lights blinking, cinematic atmosphere, 8k.","(Auto)","Camera tracks forward quickly through dark server room, blue lights flash to 126 bpm beat."
02,00:05-00:10,Intro,A,Char Wakeup Standby,"(Style: Semi-realistic Manhwa) Character 'The Architect' sitting in dark room, eyes closed, wearing tech-wear, blue ambient light.","[Input: Start Frame]","(Minimal Motion) Character sits perfectly still, subtle chest breathing, dust motes floating."
03,00:10-00:15,Intro,A,Eyes Open Impact,"[Input: Last Frame of 02]","(Style: Semi-realistic Manhwa) Close-up, Character eyes wide open, electric blue iris glowing intensively.","Character suddenly snaps eyes open, iris glows neon blue, camera slight zoom in."
04,00:15-00:20,Verse1,A,Lip Sync Start,"[Input: Last Frame of 03]","(Style: Semi-realistic Manhwa) Character looking at camera, mouth slightly open as if speaking, arrogant expression.","Character looks at camera, subtle head bob to beat, lips moving slightly, confident vibe."
05,00:20-00:25,Verse1,B,Space Float,"(Style: Abstract Art) Universe background, binary code raining like stars, glitch effect.","(Auto)","Abstract galaxy made of binary codes, floating camera movement, digital rain effect."
06,00:25-00:30,Verse1,A,Hand Gesture,"(Style: Semi-realistic Manhwa) Character reaching hand out towards camera, focus on hand.","(Style: Semi-realistic Manhwa) Heavy blast door opening in the background behind the hand.","Character reaches hand out, metallic door in background slides open heavily."
07,00:30-00:35,Verse1,A,Eye Zoom HUD,"(Style: Semi-realistic Manhwa) Extreme close-up of one eye, blue eyelashes.","(Style: Semi-realistic Manhwa) Eye with holographic data HUD overlay reflection.","Extreme close up of eye, iris contracts mechanically, digital numbers scrolling rapidly in reflection."
08,00:35-00:40,Verse1,B,City Glitch,"(Style: Cyberpunk) Aerial view of a futuristic city at night, heavy neon lights.","(Auto)","Aerial city view, sudden heavy datamoshing, digital noise artifacting, reality distortion."
09,00:40-00:45,Verse1,A,Blue Blood Veins,"(Style: Semi-realistic Manhwa) Side profile of Character's neck, pale skin.","(Style: Semi-realistic Manhwa) Neck veins glowing bright neon blue under skin.","Veins on neck glow neon blue, pulsing rhythmically to heartbeat, cinematic medical shot."
10,00:45-00:50,Verse1,B,Run Fast,"(Style: Semi-realistic Manhwa) Cyberpunk boots running on wet asphalt, low angle.","(Auto)","Low angle shot of feet running fast on wet pavement, neon reflections, high speed."
11,00:50-00:55,Pre-Chorus,A,Crowd Noise,"(Style: Semi-realistic Manhwa) Character standing in a crowd of faceless mannequins.","[Input: Start Frame]","Character stands still while faceless crowd moves rapidly around him in time lapse."
12,00:55-01:00,Pre-Chorus,A,Levitation,"[Input: Last Frame of 11]","(Style: Semi-realistic Manhwa) Character floating slightly off the ground, debris rising.","Character begins to levitate, small rocks and debris float upwards, anti-gravity effect."
13,01:00-01:05,Verse2,B,Legion Clones,"(Style: Digital Art) Infinite mirror reflection of the Character, kaleidoscope effect.","(Auto)","Kaleidoscope effect of character face, infinite multiplication, trippy visual."
14,01:05-01:10,Verse2,A,Future Vision,"(Style: Semi-realistic Manhwa) Character wearing VR visor, intense light from visor.","[Input: Start Frame]","Light from VR visor pulses rapidly, character head shakes slightly with information overload."
